stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,UKD001,Dehradun ISBT,Inter-State Bus Terminal in Dehradun,30.3165,78.0322,,https://utc.uk.gov.in,0,
2,UKD002,Haridwar ISBT,Inter-State Bus Terminal in Haridwar,29.9457,78.1642,,https://utc.uk.gov.in,0,
3,UKD003,Rishikesh ISBT,Inter-State Bus Terminal in Rishikesh,30.0869,78.2676,,https://utc.uk.gov.in,0,
4,UKD004,Haldwani ISBT,Inter-State Bus Terminal in Haldwani,29.2190,79.5236,,https://utc.uk.gov.in,0,
5,UKD005,Nainital ISBT,Inter-State Bus Terminal in Nainital,29.3803,79.4636,,https://utc.uk.gov.in,0,
6,UKD006,Almora ISBT,Inter-State Bus Terminal in Almora,29.5973,79.6609,,https://utc.uk.gov.in,0,
7,UKD007,Pauri ISBT,Inter-State Bus Terminal in Pauri,30.1500,78.7833,,https://utc.uk.gov.in,0,
8,UKD008,Srinagar ISBT,Inter-State Bus Terminal in Srinagar,30.2200,78.7800,,https://utc.uk.gov.in,0,
9,UKD009,Rudrapur ISBT,Inter-State Bus Terminal in Rudrapur,28.9870,79.4146,,https://utc.uk.gov.in,0,
10,UKD010,Bageshwar ISBT,Inter-State Bus Terminal in Bageshwar,29.8370,79.7714,,https://utc.uk.gov.in,0,
11,UKD011,Pithoragarh ISBT,Inter-State Bus Terminal in Pithoragarh,29.5800,80.2180,,https://utc.uk.gov.in,0,
12,UKD012,Champawat ISBT,Inter-State Bus Terminal in Champawat,29.3352,80.1000,,https://utc.uk.gov.in,0,
13,UKD013,Almora ISBT 2,Second Inter-State Bus Terminal in Almora,29.5973,79.6609,,https://utc.uk.gov.in,0,
14,UKD014,Uttarkashi ISBT,Inter-State Bus Terminal in Uttarkashi,30.7333,78.4500,,https://utc.uk.gov.in,0,
15,UKD015,Tehri ISBT,Inter-State Bus Terminal in Tehri,30.3800,78.4800,,https://utc.uk.gov.in,0,
